BRANCH_COUNT,CALL_PAIRS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,LOC_CODE_AND_COMMENT,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,PARAMETER_COUNT,PERCENT_COMMENTS,DEFECT_LABEL,_source_file
1.0,1.0,0.0,1.0,0.13,0.0,1.0,1.0,2.0,1.0,0.0,12.0,6.67,533.33,0.03,20.0,0.15,29.63,80.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,3.0,0.1,10.0,8.0,12.0,6.0,10.0,4.0,0.0,0,PC4.arff
3.0,0.0,4.0,2.0,0.18,2.0,1.0,0.5,6.0,1.0,0.0,30.17,4.2,532.19,0.04,31.0,0.24,29.57,126.71,0.0,2.0,11.0,11.0,0.5,1.0,2.0,6.0,0.13,16.0,12.0,19.0,10.0,7.0,0.0,15.38,0,PC5.arff
17.0,1.0,22.0,9.0,0.2,6.0,2.0,0.22,29.0,7.0,0.75,21.71,36.56,29017.62,0.26,156.0,0.03,1612.09,793.64,11.0,2.0,33.0,44.0,0.78,8.0,11.0,22.0,0.16,57.0,65.0,91.0,16.0,18.0,0.0,28.26,1,PC4.arff
3.0,2.0,4.0,2.0,0.15,2.0,2.0,1.0,10.0,1.0,0.0,22.46,15.0,5053.28,0.11,68.0,0.07,280.74,336.89,0.0,1.0,13.0,13.0,0.5,1.0,2.0,10.0,0.11,18.0,32.0,36.0,16.0,15.0,0.0,7.14,0,PC3.arff
37.0,4.0,72.0,19.0,0.15,36.0,3.0,0.16,90.0,1.0,0.0,65.2,50.76,168007.02,1.1,494.0,0.02,9333.72,3310.02,21.0,62.0,107.0,128.0,0.05,18.0,36.0,73.0,0.08,225.0,209.0,285.0,70.0,34.0,0.0,43.68,1,PC1.arff
25.0,8.0,36.0,14.0,0.18,16.0,8.0,0.57,51.0,5.0,0.31,56.74,25.15,35879.48,0.48,227.0,0.04,1993.3,1426.79,9.0,17.0,67.0,76.0,0.36,10.0,18.0,39.0,0.13,112.0,95.0,132.0,51.0,27.0,0.0,27.96,0,PC1.arff
41.0,9.0,80.0,1.0,0.01,40.0,1.0,1.0,100.0,1.0,0.0,100.63,22.88,52701.3,0.77,381.0,0.04,2927.85,2302.91,5.0,26.0,122.0,127.0,1.0,20.0,40.0,81.0,0.01,173.0,170.0,211.0,52.0,14.0,0.0,20.26,1,PC5.arff
1.0,1.0,0.0,1.0,0.07,0.0,1.0,1.0,5.0,1.0,0.0,32.5,11.43,4244.37,0.12,81.0,0.09,235.8,371.38,1.0,2.0,13.0,14.0,1.0,0.0,0.0,6.0,0.04,24.0,32.0,49.0,14.0,10.0,0.0,18.75,1,PC5.arff
5.0,1.0,8.0,3.0,0.2,4.0,2.0,0.67,10.0,1.0,0.0,17.89,7.31,956.47,0.04,32.0,0.14,53.14,130.8,0.0,1.0,15.0,15.0,0.33,2.0,4.0,9.0,0.14,21.0,13.0,19.0,8.0,9.0,0.0,6.25,1,PC5.arff
9.0,5.0,8.0,6.0,0.15,4.0,4.0,0.67,20.0,1.0,0.0,32.18,40.04,51598.13,0.43,232.0,0.02,2866.56,1288.66,1.0,6.0,40.0,41.0,0.17,2.0,4.0,16.0,0.09,70.0,91.0,141.0,25.0,22.0,0.0,14.89,1,PC5.arff
5.0,1.0,6.0,3.0,0.33,2.0,2.0,0.67,8.0,3.0,1.0,22.4,7.33,1204.38,0.05,38.0,0.14,66.91,164.23,2.0,1.0,7.0,9.0,1.0,2.0,3.0,7.0,0.2,15.0,12.0,26.0,9.0,11.0,0.0,30.0,1,PC4.arff
9.0,1.0,16.0,5.0,0.13,8.0,5.0,1.0,23.0,1.0,0.0,69.33,25.12,43734.03,0.58,296.0,0.04,2429.67,1741.26,0.0,10.0,39.0,39.0,0.2,4.0,8.0,20.0,0.08,65.0,135.0,161.0,43.0,16.0,1.0,20.41,0,PC1.arff
5.0,2.0,8.0,3.0,0.18,4.0,3.0,1.0,9.0,1.0,0.0,21.02,14.0,4120.51,0.1,66.0,0.07,228.92,294.32,1.0,0.0,16.0,17.0,0.33,2.0,4.0,8.0,0.15,20.0,28.0,38.0,11.0,11.0,0.0,5.88,0,PC5.arff
3.0,0.0,4.0,2.0,0.33,2.0,1.0,0.5,6.0,1.0,0.0,6.5,6.0,234.0,0.01,13.0,0.17,13.0,39.0,0.0,0.0,6.0,6.0,0.5,1.0,2.0,6.0,0.29,7.0,4.0,9.0,2.0,6.0,2.0,0.0,0,PC3.arff
11.0,3.0,20.0,6.0,0.19,10.0,4.0,0.67,23.0,1.0,0.0,44.03,18.65,15307.48,0.27,147.0,0.05,850.42,820.99,5.0,12.0,27.0,32.0,0.17,5.0,10.0,19.0,0.11,54.0,68.0,79.0,31.0,17.0,0.0,38.64,0,PC1.arff
17.0,9.0,28.0,9.0,0.32,12.0,6.0,0.0,44.0,9.0,1.0,40.77,18.67,14204.39,0.25,145.0,0.05,789.13,760.95,0.0,7.0,28.0,28.0,1.0,8.0,14.0,37.0,0.2,45.0,64.0,81.0,24.0,14.0,0.0,20.0,0,MC1.arff
3.0,5.0,4.0,2.0,0.17,2.0,2.0,1.0,9.0,1.0,0.0,41.64,7.11,2105.8,0.1,63.0,0.14,116.99,296.13,1.0,8.0,11.0,12.0,0.5,1.0,2.0,9.0,0.07,28.0,32.0,31.0,18.0,8.0,1.0,45.0,0,PC3.arff
9.0,2.0,14.0,5.0,0.5,6.0,2.0,0.4,17.0,5.0,1.0,14.76,15.94,3748.9,0.08,52.0,0.06,208.27,235.23,0.0,0.0,10.0,10.0,1.0,4.0,7.0,14.0,0.25,20.0,17.0,35.0,8.0,15.0,0.0,0.0,0,PC4.arff
9.0,4.0,16.0,5.0,0.11,8.0,5.0,1.0,20.0,1.0,0.0,36.2,18.57,12476.19,0.22,129.0,0.05,693.12,672.02,1.0,0.0,45.0,46.0,0.2,4.0,8.0,17.0,0.09,55.0,61.0,68.0,23.0,14.0,0.0,2.17,1,PC5.arff
5.0,4.0,8.0,3.0,0.14,4.0,3.0,1.0,14.0,1.0,0.0,45.57,8.11,3004.05,0.12,74.0,0.12,166.89,370.0,0.0,0.0,22.0,22.0,0.33,2.0,4.0,13.0,0.08,38.0,31.0,43.0,21.0,11.0,0.0,0.0,1,PC1.arff
731.0,21.0,1090.0,366.0,0.27,368.0,24.0,0.07,1158.0,290.0,0.79,291.06,165.21,7944834.54,16.03,6201.0,0.01,441379.67,48088.06,51.0,619.0,1317.0,1368.0,0.79,361.0,578.0,794.0,0.17,2149.0,2313.0,3888.0,189.0,27.0,0.0,33.72,1,PC5.arff
3.0,1.0,4.0,2.0,0.4,2.0,2.0,1.0,5.0,1.0,0.0,12.33,4.8,284.19,0.02,16.0,0.21,15.79,59.21,0.0,2.0,5.0,5.0,0.0,1.0,2.0,5.0,0.2,10.0,6.0,10.0,5.0,8.0,0.0,28.57,0,MC1.arff
1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,7.74,1.5,17.41,0.0,5.0,0.67,0.97,11.61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.5,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0,MC1.arff
15.0,1.0,28.0,8.0,0.18,14.0,2.0,0.25,31.0,6.0,0.71,21.4,27.0,15598.04,0.19,126.0,0.04,866.56,577.71,4.0,8.0,40.0,44.0,0.75,7.0,14.0,25.0,0.14,56.0,54.0,72.0,12.0,12.0,0.0,23.08,1,PC5.arff
1.0,0.0,0.0,1.0,0.08,0.0,1.0,1.0,1.0,1.0,0.0,30.82,6.29,1217.72,0.06,56.0,0.16,67.65,193.73,0.0,2.0,12.0,12.0,1.0,0.0,0.0,2.0,0.06,17.0,22.0,34.0,7.0,4.0,0.0,14.29,0,MC1.arff
9.0,5.0,16.0,5.0,0.12,8.0,5.0,1.0,22.0,1.0,0.0,67.8,13.4,12174.52,0.3,152.0,0.07,676.36,908.55,5.0,22.0,38.0,43.0,0.2,4.0,8.0,19.0,0.06,82.0,67.0,85.0,45.0,18.0,1.0,41.54,1,PC3.arff
17.0,12.0,26.0,9.0,0.18,12.0,7.0,0.78,55.0,3.0,0.0,66.78,20.93,29266.83,0.47,233.0,0.05,1625.93,1398.0,0.0,16.0,50.0,50.0,0.33,7.0,13.0,48.0,0.12,78.0,107.0,126.0,46.0,18.0,2.0,24.24,0,MW1.arff
3.0,1.0,4.0,2.0,0.18,2.0,2.0,1.0,8.0,1.0,0.0,22.86,9.75,2173.32,0.07,48.0,0.1,120.74,222.91,0.0,0.0,11.0,11.0,0.0,1.0,2.0,8.0,0.06,31.0,18.0,30.0,12.0,13.0,0.0,0.0,0,MC1.arff
3.0,2.0,4.0,2.0,0.1,2.0,2.0,1.0,7.0,1.0,0.0,34.09,11.0,4124.71,0.12,78.0,0.09,229.15,374.97,0.0,0.0,20.0,20.0,0.0,1.0,2.0,7.0,0.05,42.0,34.0,44.0,17.0,11.0,0.0,0.0,0,MC1.arff
1.0,1.0,0.0,1.0,0.25,0.0,1.0,1.0,2.0,1.0,0.0,19.02,2.0,76.08,0.01,12.0,0.5,4.23,38.04,3.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,0.17,6.0,5.0,7.0,5.0,4.0,0.0,75.0,0,MC1.arff
5.0,1.0,14.0,3.0,0.12,4.0,2.0,0.67,10.0,1.0,0.0,22.7,11.0,2747.01,0.08,56.0,0.09,152.61,249.73,16.0,0.0,9.0,25.0,0.33,5.0,7.0,9.0,0.09,34.0,22.0,34.0,11.0,11.0,0.0,64.0,0,PC5.arff
3.0,2.0,4.0,2.0,0.11,2.0,2.0,1.0,7.0,1.0,0.0,24.8,12.19,3683.14,0.1,61.0,0.08,204.62,302.21,3.0,24.0,16.0,19.0,0.5,1.0,2.0,7.0,0.03,61.0,26.0,35.0,16.0,15.0,2.0,62.79,1,PC3.arff
9.0,1.0,16.0,5.0,0.15,8.0,3.0,0.6,18.0,1.0,0.0,52.03,12.33,7914.68,0.21,111.0,0.08,439.7,641.73,4.0,22.0,29.0,33.0,0.2,4.0,8.0,15.0,0.06,83.0,37.0,74.0,33.0,22.0,0.0,47.27,1,CM1.arff
3.0,2.0,4.0,2.0,0.13,2.0,2.0,1.0,6.0,1.0,0.0,23.33,6.0,840.0,0.05,35.0,0.17,46.67,140.0,1.0,1.0,15.0,16.0,0.5,1.0,2.0,6.0,0.09,23.0,12.0,23.0,8.0,8.0,0.0,11.76,1,PC4.arff
13.0,5.0,24.0,7.0,0.26,12.0,5.0,0.71,31.0,1.0,0.0,53.3,10.61,6003.3,0.19,103.0,0.09,333.52,565.66,8.0,23.0,19.0,27.0,0.14,6.0,12.0,26.0,0.1,72.0,47.0,56.0,31.0,14.0,0.0,62.0,0,PC3.arff
3.0,1.0,4.0,2.0,0.14,2.0,1.0,0.0,7.0,1.0,0.0,39.68,12.67,6367.15,0.17,98.0,0.08,353.73,502.67,2.0,1.0,12.0,14.0,0.0,1.0,2.0,7.0,0.08,26.0,38.0,60.0,21.0,14.0,6.0,20.0,0,MC1.arff
5.0,8.0,8.0,3.0,0.14,4.0,2.0,0.67,22.0,1.0,0.0,50.44,8.5,3644.57,0.14,85.0,0.12,202.48,428.77,1.0,13.0,20.0,21.0,0.33,2.0,4.0,21.0,0.06,48.0,34.0,51.0,22.0,11.0,0.0,41.18,1,PC3.arff
3.0,2.0,4.0,2.0,0.12,2.0,2.0,1.0,6.0,1.0,0.0,26.69,12.86,4411.7,0.11,73.0,0.08,245.09,343.13,0.0,2.0,17.0,17.0,0.5,1.0,2.0,6.0,0.09,23.0,30.0,43.0,14.0,12.0,0.0,10.53,1,PC5.arff
5.0,3.0,8.0,3.0,0.23,4.0,3.0,1.0,15.0,1.0,0.0,17.24,7.5,969.51,0.04,31.0,0.13,53.86,129.27,0.0,0.0,13.0,13.0,0.0,2.0,4.0,14.0,0.19,16.0,12.0,19.0,8.0,10.0,0.0,0.0,0,MC1.arff
37.0,6.0,16.0,25.0,0.2,6.0,8.0,0.32,103.0,11.0,0.42,38.34,51.45,101508.96,0.66,334.0,0.02,5639.39,1972.9,11.0,10.0,115.0,126.0,0.44,5.0,8.0,80.0,0.17,147.0,110.0,224.0,31.0,29.0,0.0,15.44,1,PC5.arff
17.0,1.0,32.0,9.0,0.38,16.0,1.0,0.11,35.0,1.0,0.0,35.36,17.72,11106.15,0.21,129.0,0.06,617.01,626.68,0.0,0.0,24.0,24.0,0.11,8.0,16.0,28.0,0.31,29.0,58.0,71.0,18.0,11.0,2.0,0.0,1,PC3.arff
21.0,6.0,38.0,11.0,0.16,18.0,6.0,0.55,40.0,1.0,0.0,114.46,26.63,81152.69,1.02,434.0,0.04,4508.48,3047.71,13.0,14.0,57.0,70.0,0.09,10.0,19.0,31.0,0.11,103.0,194.0,240.0,102.0,28.0,0.0,32.14,1,PC1.arff
3.0,2.0,4.0,2.0,0.15,2.0,2.0,1.0,6.0,1.0,0.0,17.41,7.0,852.85,0.04,32.0,0.14,47.38,121.84,0.0,1.0,13.0,13.0,0.5,1.0,2.0,6.0,0.11,18.0,14.0,18.0,7.0,7.0,0.0,7.14,1,PC5.arff
39.0,8.0,68.0,20.0,0.11,30.0,11.0,0.55,88.0,5.0,0.21,94.58,43.08,175516.18,1.36,634.0,0.02,9750.9,4074.25,6.0,58.0,173.0,179.0,0.25,19.0,34.0,70.0,0.07,270.0,236.0,398.0,63.0,23.0,0.0,27.0,1,PC5.arff
1.0,1.0,0.0,1.0,0.25,0.0,1.0,1.0,4.0,1.0,0.0,16.21,2.25,82.12,0.01,13.0,0.44,4.56,36.5,3.0,0.0,1.0,4.0,1.0,0.0,0.0,5.0,0.17,6.0,6.0,7.0,4.0,3.0,0.0,75.0,0,MC1.arff
9.0,4.0,16.0,5.0,0.14,8.0,4.0,0.8,25.0,1.0,0.0,90.58,12.32,13749.12,0.37,186.0,0.08,763.84,1116.0,6.0,16.0,31.0,37.0,0.2,4.0,8.0,22.0,0.06,77.0,88.0,98.0,50.0,14.0,1.0,41.51,1,PC3.arff
3.0,3.0,4.0,1.0,0.06,2.0,1.0,1.0,24.0,1.0,0.0,46.97,32.0,48098.41,0.5,277.0,0.03,2672.13,1503.08,0.0,8.0,17.0,17.0,1.0,1.0,2.0,24.0,0.03,29.0,108.0,169.0,27.0,16.0,0.0,32.0,0,MC1.arff
9.0,20.0,16.0,5.0,0.1,8.0,5.0,1.0,49.0,3.0,0.5,90.12,19.38,33861.93,0.58,285.0,0.05,1881.22,1746.85,1.0,0.0,47.0,48.0,0.6,4.0,8.0,46.0,0.09,56.0,112.0,173.0,52.0,18.0,0.0,2.08,1,KC3.arff
3.0,2.0,4.0,2.0,0.2,2.0,2.0,1.0,6.0,1.0,0.0,27.98,6.75,1274.87,0.06,43.0,0.15,70.83,188.87,0.0,0.0,10.0,10.0,0.5,1.0,2.0,6.0,0.07,27.0,18.0,25.0,12.0,9.0,0.0,0.0,0,PC5.arff
3.0,0.0,4.0,2.0,0.4,2.0,1.0,0.5,6.0,1.0,0.0,7.92,6.0,285.29,0.02,15.0,0.17,15.85,47.55,0.0,0.0,5.0,5.0,0.5,1.0,2.0,6.0,0.25,8.0,6.0,9.0,3.0,6.0,1.0,0.0,0,PC4.arff
5.0,3.0,8.0,3.0,0.18,4.0,3.0,1.0,10.0,1.0,0.0,17.05,11.33,2190.3,0.06,44.0,0.09,121.68,193.26,0.0,3.0,17.0,17.0,0.33,2.0,4.0,9.0,0.13,24.0,17.0,27.0,9.0,12.0,0.0,15.0,1,PC5.arff
3.0,2.0,4.0,2.0,0.22,2.0,2.0,1.0,9.0,1.0,0.0,18.62,14.88,4118.96,0.09,57.0,0.07,228.83,276.9,0.0,1.0,9.0,9.0,0.5,1.0,2.0,9.0,0.17,12.0,21.0,36.0,12.0,17.0,2.0,10.0,1,KC3.arff
3.0,2.0,4.0,2.0,0.22,2.0,2.0,1.0,9.0,1.0,0.0,18.62,14.88,4118.96,0.09,57.0,0.07,228.83,276.9,0.0,0.0,9.0,9.0,0.5,1.0,2.0,9.0,0.18,11.0,21.0,36.0,12.0,17.0,2.0,0.0,0,KC3.arff
25.0,4.0,48.0,13.0,0.33,24.0,7.0,0.54,56.0,1.0,0.0,56.42,19.13,20637.49,0.36,185.0,0.05,1146.53,1079.08,0.0,6.0,40.0,40.0,0.08,12.0,24.0,45.0,0.22,58.0,90.0,95.0,40.0,17.0,2.0,13.04,1,PC3.arff
11.0,1.0,0.0,6.0,0.26,0.0,2.0,0.33,25.0,5.0,0.8,20.3,22.0,9823.92,0.15,95.0,0.05,545.77,446.54,0.0,0.0,23.0,23.0,0.83,0.0,0.0,21.0,0.24,25.0,44.0,51.0,13.0,13.0,4.0,0.0,0,PC4.arff
1.0,1.0,0.0,1.0,0.17,0.0,1.0,1.0,2.0,1.0,0.0,62.27,1.11,76.88,0.02,20.0,0.9,4.27,69.19,0.0,0.0,6.0,6.0,1.0,0.0,0.0,3.0,0.11,9.0,10.0,10.0,9.0,2.0,0.0,0.0,0,PC5.arff
7.0,4.0,12.0,4.0,0.15,6.0,3.0,0.75,20.0,1.0,0.0,18.2,36.93,24819.33,0.22,130.0,0.03,1378.85,672.09,4.0,11.0,23.0,27.0,0.25,3.0,6.0,18.0,0.07,57.0,47.0,83.0,14.0,22.0,0.0,39.47,1,PC4.arff
29.0,4.0,46.0,15.0,0.19,18.0,9.0,0.6,58.0,14.0,0.93,104.45,30.05,94338.77,1.05,462.0,0.03,5241.04,3139.02,0.0,10.0,81.0,81.0,0.93,14.0,23.0,45.0,0.12,128.0,187.0,275.0,84.0,27.0,1.0,10.99,1,PC3.arff
23.0,5.0,36.0,12.0,0.2,14.0,5.0,0.42,45.0,7.0,0.55,66.71,20.22,27279.99,0.45,224.0,0.05,1515.55,1349.01,5.0,16.0,54.0,59.0,0.58,11.0,18.0,35.0,0.13,89.0,91.0,133.0,45.0,20.0,0.0,28.0,0,PC5.arff
3.0,6.0,4.0,2.0,0.12,2.0,2.0,1.0,13.0,1.0,0.0,22.94,9.44,2046.09,0.07,51.0,0.11,113.67,216.64,0.0,21.0,17.0,17.0,0.5,1.0,2.0,13.0,0.04,48.0,17.0,34.0,9.0,10.0,0.0,55.26,0,PC5.arff
19.0,2.0,32.0,10.0,0.24,14.0,3.0,0.3,38.0,6.0,0.56,15.64,64.91,65882.72,0.34,203.0,0.02,3660.15,1015.0,22.0,18.0,19.0,41.0,0.6,9.0,16.0,30.0,0.13,76.0,68.0,135.0,11.0,21.0,1.0,67.8,1,PC4.arff
11.0,0.0,20.0,6.0,0.3,10.0,1.0,0.17,21.0,1.0,0.0,13.96,12.0,2010.28,0.06,44.0,0.08,111.68,167.52,0.0,0.0,20.0,20.0,0.17,5.0,10.0,17.0,0.26,23.0,18.0,26.0,6.0,8.0,0.0,0.0,0,PC5.arff
51.0,9.0,96.0,26.0,0.32,46.0,16.0,0.62,110.0,22.0,0.84,83.45,34.68,100348.96,0.96,448.0,0.03,5574.94,2893.83,0.0,0.0,82.0,82.0,0.85,25.0,48.0,86.0,0.3,86.0,196.0,252.0,65.0,23.0,2.0,0.0,0,PC1.arff
7.0,2.0,12.0,4.0,0.18,6.0,4.0,1.0,15.0,1.0,0.0,21.59,13.59,3988.08,0.1,64.0,0.07,221.56,293.44,20.0,5.0,2.0,22.0,0.25,3.0,6.0,13.0,0.13,32.0,23.0,41.0,11.0,13.0,0.0,92.59,1,PC4.arff
5.0,3.0,8.0,3.0,0.25,4.0,2.0,0.0,15.0,1.0,0.0,18.8,10.5,2072.88,0.07,42.0,0.1,115.16,197.42,1.0,0.0,11.0,12.0,0.0,2.0,4.0,14.0,0.19,16.0,18.0,24.0,12.0,14.0,0.0,8.33,0,MC1.arff
3.0,1.0,4.0,2.0,0.25,2.0,1.0,0.5,7.0,1.0,0.0,17.2,6.67,764.63,0.04,27.0,0.15,42.48,114.69,0.0,0.0,8.0,8.0,0.5,1.0,2.0,7.0,0.22,9.0,12.0,15.0,9.0,10.0,1.0,0.0,0,PC1.arff
23.0,9.0,0.0,12.0,0.25,0.0,9.0,0.75,57.0,10.0,0.82,52.14,25.38,33598.94,0.44,225.0,0.04,1866.61,1323.59,1.0,4.0,47.0,48.0,0.83,0.0,0.0,47.0,0.21,58.0,99.0,126.0,39.0,20.0,2.0,9.62,0,PC4.arff
1.0,2.0,0.0,1.0,0.25,0.0,1.0,1.0,3.0,1.0,0.0,16.5,2.0,66.0,0.01,11.0,0.5,3.67,33.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,4.0,0.1,10.0,4.0,7.0,4.0,4.0,1.0,0.0,0,PC4.arff
